"Age","Gender","Smartphone_Prof","Location_Privacy","Filters_Comb","DC_Fast_Charging","Regular_Charging","Price","Distance","Availability","Amenities","Satisfaction","Recome"
"25-34","Female","Advanced","Somewhat positive","Very well","Difficult","Easy","Neutral","Neutral","Easy","Easy","Somewhat dissatisfied","Probably would not"
"25-34","Female","Expert","Very Positive","Very well","Easy","Easy","Very Easy","Very Easy","Easy","Easy","Extremely dissatisfied","Definitely would"
"25-34","Female","Expert","Somewhat positive","Moderately well","Very Difficult","Very Difficult","Very Difficult","Very Difficult","Very Difficult","Very Difficult","Somewhat satisfied","Probably would not"
"35-44","Male","Expert","Very Positive","Moderately well","Easy","Easy","Easy","Very Easy","Easy","Easy","Extremely satisfied","Definitely would"
"25-34","Female","Expert","Somewhat positive","Very well","Very Easy","Easy","Easy","Easy","Easy","Very Easy","Somewhat satisfied","Probably would"
"25-34","Female","Intermediate","Somewhat positive","Slightly well","Neutral","Easy","Difficult","Neutral","Easy","Easy","Somewhat satisfied","Probably would"
"25-34","Male","Expert","Very Positive","Very well","Neutral","Neutral","Easy","Easy","Easy","Neutral","Somewhat satisfied","Probably would"
"25-34","Female","Advanced","Somewhat positive","Very well","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Extremely satisfied","Definitely would"
"25-34","Female","Advanced","Very Positive","Very well","Easy","Easy","Neutral","Very Easy","Easy","Very Easy","Extremely satisfied","Definitely would"
"35-44","Male","Expert","Very Positive","Very well","Neutral","Very Easy","Very Easy","Neutral","Neutral","Very Easy","Extremely satisfied","Definitely would"
